-76,8;0,0001
3,2;0,0002
-81,6;0,0003
3,2;0,0004
-80;0,0005
-80;0,0006
3,2;0,0007
-80;0,0008
-80;0,0009
-80;0,001
-80;0,0011
-78,4;0,0012
-80;0,0013
-80;0,0014
-80;0,0015
-81,6;0,0016
3,2;0,0017
-80;0,0018
-81,6;0,0019
-83,2;0,002
-80;0,0021
-81,6;0,0022
-81,6;0,0023
-81,6;0,0024
-83,2;0,0025
-81,6;0,0026
-81,6;0,0027
-81,6;0,0028
-81,6;0,0029
-81,6;0,003
-81,6;0,0031
-81,6;0,0032
-81,6;0,0033
-81,6;0,0034
-80;0,0035
-81,6;0,0036
-81,6;0,0037
-80;0,0038
-81,6;0,0039
-81,6;0,004
-81,6;0,0041
3,2;0,0042
-81,6;0,0043
-80;0,0044
-81,6;0,0045
-81,6;0,0046
-81,6;0,0047
3,2;0,0048
-81,6;0,0049
-81,6;0,005
-81,6;0,0051
-81,6;0,0052
3,2;0,0053
-81,6;0,0054
-80;0,0055
4,8;0,0056
-80;0,0057
4,8;0,0058
-83,2;0,0059
-81,6;0,006
4,8;0,0061
4,8;0,0062
4,8;0,0063
-81,6;0,0064
9,6;0,0065
3,2;0,0066
-80;0,0067
3,2;0,0068
-80;0,0069
4,8;0,007
3,2;0,0071
-81,6;0,0072
6,4;0,0073
3,2;0,0074
4,8;0,0075
3,2;0,0076
3,2;0,0077
3,2;0,0078
4,8;0,0079
3,2;0,008
3,2;0,0081
4,8;0,0082
6,4;0,0083
4,8;0,0084
3,2;0,0085
6,4;0,0086
89,6;0,0087
3,2;0,0088
3,2;0,0089
4,8;0,009
4,8;0,0091
88;0,0092
6,4;0,0093
86,4;0,0094
-1,6;0,0095
3,2;0,0096
88;0,0097
6,4;0,0098
88;0,0099
88;0,01
3,2;0,0101
88;0,0102
6,4;0,0103
88;0,0104
86,4;0,0105
88;0,0106
88;0,0107
3,2;0,0108
89,6;0,0109
89,6;0,011
88;0,0111
88;0,0112
0;0,0113
89,6;0,0114
89,6;0,0115
88;0,0116
3,2;0,0117
89,6;0,0118
88;0,0119
88;0,012
88;0,0121
89,6;0,0122
88;0,0123
88;0,0124
89,6;0,0125
86,4;0,0126
88;0,0127
86,4;0,0128
86,4;0,0129
88;0,013
86,4;0,0131
88;0,0132
86,4;0,0133
86,4;0,0134
86,4;0,0135
86,4;0,0136
88;0,0137
88;0,0138
86,4;0,0139
88;0,014
88;0,0141
3,2;0,0142
88;0,0143
86,4;0,0144
86,4;0,0145
88;0,0146
86,4;0,0147
88;0,0148
88;0,0149
88;0,015
88;0,0151
3,2;0,0152
88;0,0153
88;0,0154
88;0,0155
86,4;0,0156
0;0,0157
88;0,0158
-6,4;0,0159
88;0,016
88;0,0161
3,2;0,0162
88;0,0163
3,2;0,0164
3,2;0,0165
88;0,0166
3,2;0,0167
86,4;0,0168
0;0,0169
0;0,017
89,6;0,0171
0;0,0172
88;0,0173
0;0,0174
0;0,0175
-1,6;0,0176
3,2;0,0177
0;0,0178
3,2;0,0179
3,2;0,018
3,2;0,0181
3,2;0,0182
1,6;0,0183
1,6;0,0184
0;0,0185
1,6;0,0186
0;0,0187
-81,6;0,0188
1,6;0,0189
1,6;0,019
-81,6;0,0191
1,6;0,0192
-81,6;0,0193
1,6;0,0194
1,6;0,0195
-81,6;0,0196
1,6;0,0197
-81,6;0,0198
1,6;0,0199
-81,6;0,02
-81,6;0,0201
1,6;0,0202
-80;0,0203
3,2;0,0204
-81,6;0,0205
-81,6;0,0206
0;0,0207
-81,6;0,0208
-80;0,0209
-80;0,021
-81,6;0,0211
-81,6;0,0212
-81,6;0,0213
-80;0,0214
-81,6;0,0215
-81,6;0,0216
3,2;0,0217
-80;0,0218
-80;0,0219
-81,6;0,022
-80;0,0221
-81,6;0,0222
-80;0,0223
-81,6;0,0224
-81,6;0,0225
-81,6;0,0226
-80;0,0227
-81,6;0,0228
-83,2;0,0229
-80;0,023
-80;0,0231
-81,6;0,0232
-81,6;0,0233
-80;0,0234
-81,6;0,0235
-80;0,0236
-81,6;0,0237
-81,6;0,0238
-81,6;0,0239
-81,6;0,024
-80;0,0241
3,2;0,0242
-80;0,0243
-81,6;0,0244
-80;0,0245
-81,6;0,0246
-81,6;0,0247
6,4;0,0248
-80;0,0249
-83,2;0,025
-81,6;0,0251
-81,6;0,0252
4,8;0,0253
-83,2;0,0254
-81,6;0,0255
3,2;0,0256
-81,6;0,0257
4,8;0,0258
-81,6;0,0259
-80;0,026
4,8;0,0261
8;0,0262
3,2;0,0263
-80;0,0264
-80;0,0265
6,4;0,0266
-81,6;0,0267
4,8;0,0268
-80;0,0269
4,8;0,027
6,4;0,0271
-80;0,0272
4,8;0,0273
3,2;0,0274
6,4;0,0275
3,2;0,0276
6,4;0,0277
3,2;0,0278
6,4;0,0279
4,8;0,028
4,8;0,0281
4,8;0,0282
3,2;0,0283
4,8;0,0284
6,4;0,0285
4,8;0,0286
88;0,0287
3,2;0,0288
3,2;0,0289
4,8;0,029
6,4;0,0291
88;0,0292
3,2;0,0293
88;0,0294
-1,6;0,0295
4,8;0,0296
88;0,0297
4,8;0,0298
88;0,0299
88;0,03
6,4;0,0301
89,6;0,0302
4,8;0,0303
88;0,0304
89,6;0,0305
88;0,0306
89,6;0,0307
3,2;0,0308
89,6;0,0309
89,6;0,031
89,6;0,0311
86,4;0,0312
0;0,0313
88;0,0314
88;0,0315
88;0,0316
0;0,0317
88;0,0318
86,4;0,0319
88;0,032
86,4;0,0321
86,4;0,0322
89,6;0,0323
86,4;0,0324
88;0,0325
88;0,0326
86,4;0,0327
88;0,0328
86,4;0,0329
86,4;0,033
86,4;0,0331
86,4;0,0332
88;0,0333
88;0,0334
88;0,0335
86,4;0,0336
88;0,0337
88;0,0338
88;0,0339
86,4;0,034
88;0,0341
1,6;0,0342
88;0,0343
88;0,0344
88;0,0345
88;0,0346
88;0,0347
88;0,0348
88;0,0349
86,4;0,035
88;0,0351
0;0,0352
88;0,0353
86,4;0,0354
88;0,0355
89,6;0,0356
3,2;0,0357
89,6;0,0358
89,6;0,0359
89,6;0,036
89,6;0,0361
1,6;0,0362
86,4;0,0363
3,2;0,0364
1,6;0,0365
88;0,0366
0;0,0367
88;0,0368
0;0,0369
1,6;0,037
88;0,0371
3,2;0,0372
88;0,0373
0;0,0374
1,6;0,0375
-3,2;0,0376
0;0,0377
0;0,0378
0;0,0379
0;0,038
3,2;0,0381
0;0,0382
1,6;0,0383
1,6;0,0384
0;0,0385
1,6;0,0386
0;0,0387
-80;0,0388
3,2;0,0389
0;0,039
-80;0,0391
0;0,0392
-81,6;0,0393
1,6;0,0394
1,6;0,0395
-81,6;0,0396
0;0,0397
-81,6;0,0398
1,6;0,0399
-81,6;0,04
-81,6;0,0401
0;0,0402
-80;0,0403
3,2;0,0404
-80;0,0405
-80;0,0406
1,6;0,0407
-81,6;0,0408
-81,6;0,0409
-81,6;0,041
-80;0,0411
-80;0,0412
-81,6;0,0413
-81,6;0,0414
-81,6;0,0415
-81,6;0,0416
3,2;0,0417
-81,6;0,0418
-80;0,0419
-81,6;0,042
-80;0,0421
-81,6;0,0422
-80;0,0423
-81,6;0,0424
-81,6;0,0425
-81,6;0,0426
-80;0,0427
-81,6;0,0428
-80;0,0429
-80;0,043
-81,6;0,0431
-80;0,0432
-81,6;0,0433
-80;0,0434
-81,6;0,0435
-81,6;0,0436
-81,6;0,0437
-81,6;0,0438
-81,6;0,0439
-81,6;0,044
-81,6;0,0441
3,2;0,0442
-81,6;0,0443
-81,6;0,0444
-81,6;0,0445
-81,6;0,0446
-81,6;0,0447
-81,6;0,0448
-80;0,0449
-80;0,045
-81,6;0,0451
-80;0,0452
4,8;0,0453
-81,6;0,0454
-81,6;0,0455
4,8;0,0456
-81,6;0,0457
4,8;0,0458
-81,6;0,0459
-81,6;0,046
4,8;0,0461
-83,2;0,0462
4,8;0,0463
-81,6;0,0464
11,2;0,0465
3,2;0,0466
-81,6;0,0467
3,2;0,0468
-83,2;0,0469
4,8;0,047
4,8;0,0471
-81,6;0,0472
4,8;0,0473
4,8;0,0474
3,2;0,0475
4,8;0,0476
4,8;0,0477
4,8;0,0478
3,2;0,0479
3,2;0,048
4,8;0,0481
3,2;0,0482
6,4;0,0483
3,2;0,0484
4,8;0,0485
4,8;0,0486
86,4;0,0487
3,2;0,0488
4,8;0,0489
4,8;0,049
4,8;0,0491
86,4;0,0492
4,8;0,0493
86,4;0,0494
-4,8;0,0495
4,8;0,0496
86,4;0,0497
