Memory Length;500;;;;;Memory Length;500;;;
Trigger Level;600mV  ;;;;;Trigger Level;600mV  ;;;
Source;CH2;;;;;Source;CH2;;;
Vertical Position;-38;;;;;Vertical Position;-38;;;
Vertical Offset;0;;;;;Vertical Offset;0;;;
Time Base;2.5ms;;;;;Time Base;2.5ms;;;
Volts;2V;;;;;Volts;2V;;;
Probe;X 1;;;;;Probe;X 1;;;
Coupling;DC;;;;;Coupling;DC;;;
Horizontal View;Main;;;;;Horizontal View;Main;;;
Waveform Last Dot Address;500;;;;;Waveform Last Dot Address;500;;;
Horizontal;15.80ms ;;;;;Horizontal;15.80ms ;;;
Time;17-Apr-26 10:37;;;;;Time;17-Apr-26 10:37;;;
Sampling Period;100.000us;;;;;Sampling Period;100.000us;;;
Sampling Mode;Equivalent Time;;;;;Sampling Mode;Equivalent Time;;;
Waveform Data;;;;;;Waveform Data;;;;
54;;;;;;54;;;86,4;0,0134
54;;;;;;54;;;86,4;0,0135
54;;;;;;54;;;86,4;0,0136
55;;;;;;55;;;88;0,0137
55;;;;;;55;;;88;0,0138
54;;;;;;54;;;86,4;0,0139
55;;;;;;55;;;88;0,014
55;;;;;;55;;;88;0,0141
2;;;;;;2;;;3,2;0,0142
55;;;;;;55;;;88;0,0143
54;;;;;;54;;;86,4;0,0144
54;;;;;;54;;;86,4;0,0145
55;;;;;;55;;;88;0,0146
54;;;;;;54;;;86,4;0,0147
55;;;;;;55;;;88;0,0148
55;;;;;;55;;;88;0,0149
55;;;;;;55;;;88;0,015
55;;;;;;55;;;88;0,0151
2;;;;;;2;;;3,2;0,0152
55;;;;;;55;;;88;0,0153
55;;;;;;55;;;88;0,0154
55;;;;;;55;;;88;0,0155
54;;;;;;54;;;86,4;0,0156
0;;;;;;0;;;0;0,0157
55;;;;;;55;;;88;0,0158
-4;;;;;;-4;;;-6,4;0,0159
55;;;;;;55;;;88;0,016
55;;;;;;55;;;88;0,0161
2;;;;;;2;;;3,2;0,0162
55;;;;;;55;;;88;0,0163
2;;;;;;2;;;3,2;0,0164
2;;;;;;2;;;3,2;0,0165
55;;;;;;55;;;88;0,0166
2;;;;;;2;;;3,2;0,0167
54;;;;;;54;;;86,4;0,0168
0;;;;;;0;;;0;0,0169
0;;;;;;0;;;0;0,017
56;;;;;;56;;;89,6;0,0171
0;;;;;;0;;;0;0,0172
55;;;;;;55;;;88;0,0173
0;;;;;;0;;;0;0,0174
0;;;;;;0;;;0;0,0175
-1;;;;;;-1;;;-1,6;0,0176
2;;;;;;2;;;3,2;0,0177
0;;;;;;0;;;0;0,0178
2;;;;;;2;;;3,2;0,0179
2;;;;;;2;;;3,2;0,018
2;;;;;;2;;;3,2;0,0181
2;;;;;;2;;;3,2;0,0182
1;;;;;;1;;;1,6;0,0183
1;;;;;;1;;;1,6;0,0184
0;;;;;;0;;;0;0,0185
1;;;;;;1;;;1,6;0,0186
0;;;;;;0;;;0;0,0187
-51;;;;;;-51;;;-81,6;0,0188
1;;;;;;1;;;1,6;0,0189
1;;;;;;1;;;1,6;0,019
-51;;;;;;-51;;;-81,6;0,0191
1;;;;;;1;;;1,6;0,0192
-51;;;;;;-51;;;-81,6;0,0193
1;;;;;;1;;;1,6;0,0194
1;;;;;;1;;;1,6;0,0195
-51;;;;;;-51;;;-81,6;0,0196
1;;;;;;1;;;1,6;0,0197
-51;;;;;;-51;;;-81,6;0,0198
1;;;;;;1;;;1,6;0,0199
-51;;;;;;-51;;;-81,6;0,02
-51;;;;;;-51;;;-81,6;0,0201
1;;;;;;1;;;1,6;0,0202
-50;;;;;;-50;;;-80;0,0203
